date,unemployment benefits,food stamps,jobs near me,UNRATE,CCSA
2019-06-01,3,16,94,3.6,1631000
2020-02-01,3,14,87,3.5,1755000
2020-08-01,50,24,83,8.4,15255000
2021-05-01,21,22,84,5.8,3756000
2022-01-01,6,26,86,4.0,1690000
2022-10-01,4,29,75,3.6,1392000
2023-04-01,5,18,77,3.4,1694000
2023-07-01,6,24,88,3.5,1774000
2024-06-01,4,19,89,4.1,1821000
2025-02-01,5,18,79,4.2,1840000
2025-03-01,5,15,78,4.2,1857000
2025-11-01,5,38,63,4.5,1946000
