year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1992.0,Winter,Nordic Combined (Skiing),"Team, Men (Olympic)",Kenji Ogiwara,95987,JPN,Japan,1.0,False,Gold
1992.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Kenji Ogiwara,95987,JPN,,7.0,False,
1994.0,Winter,Nordic Combined (Skiing),"Team, Men (Olympic)",Kenji Ogiwara,95987,JPN,Japan,1.0,False,Gold
1994.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Kenji Ogiwara,95987,JPN,,4.0,False,
1998.0,Winter,Nordic Combined (Skiing),"Team, Men (Olympic)",Kenji Ogiwara,95987,JPN,Japan,5.0,False,
1998.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Kenji Ogiwara,95987,JPN,,4.0,False,
2002.0,Winter,Nordic Combined (Skiing),"Team, Men (Olympic)",Kenji Ogiwara,95987,JPN,Japan,8.0,False,
2002.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Kenji Ogiwara,95987,JPN,,11.0,False,
2002.0,Winter,Nordic Combined (Skiing),"Sprint, Men (Olympic)",Kenji Ogiwara,95987,JPN,,33.0,False,
1980.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Dmitry Ogloblin,95988,URS,,13.0,False,
1980.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Dmitry Ogloblin,95988,URS,,16.0,False,
1964.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Jerzy Ogórczyk,95989,POL,Poland,9.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Naci Öğün,95990,TUR,,71.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Naci Öğün,95990,TUR,Turkey,15.0,False,
1992.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Oh Yong-Seok,95991,KOR,,39.0,False,
1992.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Oh Yong-Seok,95991,KOR,,23.0,False,
1964.0,Winter,Alpine Skiing (Skiing),"Downhill, Men (Olympic)",Yoshihiro Ohira,95992,JPN,,57.0,False,
1964.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Yoshihiro Ohira,95992,JPN,,38.0,False,
1968.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Katsutoshi Okubo,95993,JPN,,24.0,False,
